Title,Author,Published_Date,Description
THE INSTITUTE,Stephen King,Date non disponible,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.
THEN SHE WAS GONE,Lisa Jewell,Date non disponible,"Ten years after her daughter disappears, a woman tries to get her life in order but remains haunted by unanswered questions."
CILKA'S JOURNEY,Heather Morris,Date non disponible,"A 16-year-old, who sleeps with a concentration camp commandant in order to survive, is sentenced to a Siberian prison camp where she cares for the ill."
LITTLE FIRES EVERYWHERE,Celeste Ng,Date non disponible,An artist with a mysterious past and a disregard for the status quo upends a quiet town outside Cleveland.
HOMEGOING,Yaa Gyasi,Date non disponible,This Ghanaian-American writer’s first novel traces the lives in West Africa and America of seven generations of the descendants of two half sisters.
I'M THINKING OF ENDING THINGS,Iain Reid,Date non disponible,Jake drives his girlfriend who is on the verge of dangerous personal decisions through a snowstorm to the family farm.
WHAT HAPPENS IN PARADISE,Elin Hilderbrand,Date non disponible,"In the sequel to ""Winter in Paradise,"" Irene Steele visits the island of St. John to get to the bottom of the mysterious life and death of her husband."
THIS TENDER LAND,William Kent Krueger,Date non disponible,Four orphans escape a Minnesota school and encounter a cross-section of different people struggling during the Great Depression.
THE MIDWIFE MURDERS,James Patterson and Richard DiLallo,Date non disponible,A single mom teams up with an N.Y.P.D. detective to solve a case involving misdeeds at a university hospital.
THE TESTAMENTS,Margaret Atwood,Date non disponible,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay."
THE NIGHTINGALE,Kristin Hannah,Date non disponible,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance."
THE HANDMAID'S TALE,Margaret Atwood,Date non disponible,"In the Republic of Gilead's dystopian future, men and women perform the services assigned to them."
LOVECRAFT COUNTRY,Matt Ruff,Date non disponible,"During the time of Jim Crow America, Atticus Turner’s father is held captive by the Order of the Ancient Dawn. The basis of the HBO series."
THE NICKEL BOYS,Colson Whitehead,Date non disponible,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.
THE OVERSTORY,Richard Powers,Date non disponible,Winner of the 2019 Pulitzer Prize for fiction. Nine people drawn to trees for different reasons fight for the last of the remaining acres of virgin forest.
WHITE FRAGILITY,Robin DiAngelo,Date non disponible,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.
